generation,best,mean,median,worst,best_score,best_level,best_frames,elapsed_s
36,23643.5,10337.26,5710.1,1400.6,22950,4,5435,1504.6322729587555
37,31735.6,7102.844999999999,5710.1,758.9,30900,4,6856,1541.60369515419
38,25173.5,11519.001666666669,11291.6,-29.19999999999999,24450,4,5735,1598.7593550682068
39,27927.0,10974.461666666668,11131.1,-29.19999999999999,27150,4,6270,1652.6988229751587
40,33628.9,15978.131666666666,13894.7,-190.9,32700,5,7289,1727.6306431293488
41,31287.9,12845.938333333332,8367.7,1562.1,30450,4,6879,1788.627270936966
42,27612.3,12204.150000000001,9670.45,1562.1,26850,4,6123,1846.7485830783844
43,26236.4,10543.76,9591.5,2626.5,25500,4,5864,1898.3346900939941
44,25173.2,11676.409999999998,9591.5,1562.1,24450,4,5732,1954.539824962616
45,33477.9,11671.238333333335,8528.8,4011.1,32550,5,7279,2011.311772108078
46,25173.6,12807.136666666665,13894.4,1562.1,24450,4,5736,2072.8418481349945
47,26551.8,17636.188333333335,20990.6,1562.1,25800,4,6018,2154.132744073868
48,37433.5,14844.95,13815.45,1562.1,36450,5,7835,2223.1558990478516
49,33628.9,14194.656666666668,16090.95,1562.1,32700,5,7289,2290.0074429512024
50,20990.5,8398.761666666665,8525.4,1562.1,20400,3,4905,2332.4399943351746
51,49980.2,14479.171666666665,13736.5,1562.1,48750,6,9802,2399.1315021514893
52,20990.6,10863.244999999999,10973.1,1562.1,20400,3,4906,2451.6948969364166
53,25173.2,14130.608333333334,13974.7,1562.1,24450,4,5732,2517.535781145096
54,26551.8,18399.723333333335,20990.55,5554.3,25800,4,6018,2600.968192100525
55,25173.5,13642.323333333332,9749.4,2946.7,24450,4,5735,2664.6096529960632
56,20990.5,11243.18333333333,9749.5,2938.1,20400,3,4905,2718.9296400547028
57,33027.9,16455.89333333333,18780.4,2946.7,32100,5,7279,2795.613970041275
58,25173.6,12423.261666666667,10361.25,5710.1,24450,4,5736,2855.4996292591095
59,29757.5,13696.395000000002,13124.6,2946.7,28950,4,6575,2920.177733898163
60,38199.8,15889.418333333335,19298.6,5710.1,37200,5,7998,2993.1452560424805
61,29757.6,12567.93,8525.4,2946.0,28950,4,6576,3053.921877145767
62,25173.2,16781.583333333332,20224.550000000003,2946.7,24450,4,5732,3131.8282001018524
63,29307.2,11420.578333333335,8525.4,5395.3,28500,4,6572,3186.9335310459137
64,20990.5,11302.364999999998,8528.8,5395.6,20400,3,4905,3241.4855880737305
65,33478.1,18360.06166666667,20990.45,5554.3,32550,5,7281,3323.8513879776
66,25173.2,15368.109999999999,16013.75,2946.0,24450,4,5732,3394.7779121398926
67,25173.5,15769.023333333333,18080.2,2946.7,24450,4,5735,3468.6662981510162
68,25173.2,14177.526666666668,12354.8,2946.0,24450,4,5732,3534.047250032425
69,25173.2,18569.775,20540.6,8209.8,24450,4,5732,3617.844460248947
70,33477.9,15822.760000000002,15319.0,4169.7,32550,5,7279,3689.373279094696
71,29757.5,17593.913333333334,19458.7,2946.7,28950,4,6575,3770.2954320907593
72,25173.6,18392.488333333335,20540.8,2946.0,24450,4,5736,3854.210978269577
73,33628.9,20132.436666666665,20990.8,5554.3,32700,5,7289,3945.141825199127
74,26393.4,13897.74833333333,15322.5,2946.7,25650,4,5934,4010.798727989197
75,29757.6,17340.97333333333,20990.4,4169.7,28950,4,6576,4090.7595040798187
76,36675.9,12207.773333333333,12350.8,1562.1,35700,5,7759,4148.327110052109
77,20990.8,13229.373333333335,12352.8,4011.1,20400,3,4908,4211.1346871852875
78,25173.2,15467.283333333333,16701.8,5395.6,24450,4,5732,4283.027663230896
79,27927.0,12744.710000000003,11663.25,5554.3,27150,4,6270,4344.52458024025
80,33476.8,16825.431666666664,20990.4,5710.1,32550,5,7268,4421.892869234085
81,29143.8,15016.420000000004,15482.8,5554.3,28350,4,6438,4491.6704931259155
